Average Reward,Episode Num
-2958.2502009070704,0
-4724.936911020708,1
-4262.369079930443,2
-5107.576532877041,3
-4741.620112502914,4
-4240.446767124972,5
-20975.396210729497,6
-19947.376208791262,7
-17957.994682958568,8
-16802.796838327657,9
-15554.693859041277,10
-14441.014030023056,11
-13497.5789914043,12
-12969.510240877824,13
-12191.54289148597,14
-11709.35163454431,15
-11454.411871835227,16
-11188.226161336144,17
-10708.01246514554,18
-10374.421416957046,19
-9942.306111387663,20
-9820.127482322152,21
-9901.40864384168,22
-9670.178658778228,23
-9462.430823643876,24
-9287.262219129641,25
-9285.965986387386,26
-9118.280914148974,27
-8937.135101087017,28
-8726.234075331475,29
-8589.145323882698,30
-8361.359532511364,31
-8147.37894061708,32
-7945.985442363636,33
-7768.616478372225,34
-7914.695922642751,35
-7857.005908400801,36
-7703.995593019885,37
-7578.234980723309,38
-7543.883292738421,39
-7439.189480386331,40
-7368.648844672833,41
-7287.820835904504,42
-7233.7883060323165,43
-7101.926343676043,44
-7028.951295199632,45
-6983.964163884409,46
-7225.055487644383,47
-7168.962167088772,48
-7115.112579355384,49
-7050.367616599535,50
-6939.783623972621,51
-6901.571784338877,52
-6869.962813560755,53
-7340.89665939438,54
-7359.666227006336,55
-7292.360147802473,56
-7189.043593530017,57
-7125.312190531621,58
-7065.305684128655,59
-6970.7924761921195,60
-6886.393754038444,61
-6797.7208373076755,62
-6732.467061868361,63
-6685.828629276884,64
-6610.862615237299,65
-6558.224141741309,66
-6487.712437098548,67
-6565.776993897956,68
-6737.0708611903165,69
-6732.949910194321,70
-6663.629791070667,71
-6627.637485732379,72
-6638.323852926513,73
-6585.73380490361,74
-6516.184675891721,75
-6448.442017763256,76
-6382.436350868856,77
-6318.1017135160855,78
-6266.330293345697,79
-6205.017573674762,80
-6145.200286190924,81
-6086.824379128383,82
-6035.016653091327,83
-5984.42793237279,84
-5971.987562500829,85
-5925.481214699968,86
-5890.411867345898,87
-5849.548936683499,88
-5810.090799516071,89
-5867.781260254872,90
-5823.168727274207,91
-5808.688233222005,92
-5765.654239023352,93
-5718.647352296791,94
-5672.6197757103655,95
-5627.541221321599,96
-5583.382637430562,97
-5540.116146143385,98
-5502.064738602107,99
-5464.766824279469,100
-5455.077765025939,101
-5414.7372042004445,102
-5375.172423390825,103
-5350.6329796488,104
-5316.523002406978,105
-5278.985404253642,106
-5242.142946806848,107
-5209.995421623522,108
-5174.450008699671,109
-5139.545053666341,110
-5105.263401401463,111
-5071.588504043928,112
-5038.504394359332,113
-5005.995660495338,114
-4974.047422042792,115
-4969.794732798147,116
-4938.694777435451,117
-4911.7694435094,118
-4881.671364813488,119
-4852.070775021642,120
-4822.955440800152,121
-4794.3135266473055,122
-4791.750375468048,123
-4774.238434192508,124
-4746.665113286219,125
-4744.537693342386,126
-4717.627242613148,127
-4740.381803219549,128
-4717.482160318119,129
-4691.3945102393545,130
-4665.702127586026,131
-4643.689868752028,132
-4618.736959283729,133
-4594.153722548294,134
-4573.130352470848,135
-4626.389221175365,136
-4625.302942619162,137
-4605.883031548708,138
-4586.114263843968,139
-4562.808488923089,140
-4542.891387171766,141
-4520.213825023712,142
-4497.851229016603,143
-4478.7969128993545,144
-4457.024331304154,145
-4435.5479753088875,146
-4417.321723461018,147
-4399.34011928896,148
-4378.677851827033,149
-4358.289256781821,150
-4341.0306129346745,151
-4324.6726060062465,152
-4314.634836037356,153
-4311.098041111138,154
-4302.92868499039,155
-4283.801750691088,156
-4264.916929484183,157
-4246.269653198119,158
-4233.352560774787,159
-4217.853921904535,160
-4202.527511226209,161
-4187.389154666635,162
-4169.78312323574,163
-4155.045423712034,164
-4146.755946779361,165
-4150.762654760242,166
-4136.424194513403,167
-4119.640619397939,168
-4106.2207072419815,169
-4089.8100598312094,170
-4073.590233901958,171
-4060.0722290355634,172
-4046.7273984242343,173
-4033.5151278060116,174
-4036.0319894685877,175
-4024.110539267217,176
-4008.8065474735813,177
-3993.6735500016616,178
-3978.708696946097,179
-3963.9092013828586,180
-3951.679325016273,181
-3937.1892740599,182
-3925.2185717021575,183
-3911.028201044308,184
-3905.0482651210586,185
-3891.1175257353843,186
-3879.6486845985773,187
-3868.3175894560677,188
-3859.429259329799,189
-3846.0291061395906,190
-3832.7685378784468,191
-3819.6453848324445,192
-3823.0311446035116,193
-3810.0925233491344,194
-3885.3285191706345,195
-3891.0857472813263,196
-3877.9994556283905,197
-3865.0446844945795,198
-3852.2194610721067,199
-3855.325248730551,200
-3851.9120146743007,201
-3839.341019528122,202
-3826.8932694323958,203
-3827.7481003470507,204
-3815.477478500706,205
-3803.325413387176,206
-3791.290195053584,207
-3779.370146273423,208
-3782.689730245547,209
-3773.1200764460355,210
-3776.4378250496834,211
-3774.8682218510585,212
-3781.502890731756,213
-3769.961016821376,214
-3758.526012113869,215
-3751.2350539929994,216
-3739.9908564976186,217
-3728.849345737355,218
-3717.809121438549,219
-3706.868808671859,220
-3696.027057281445,221
-3687.231330747606,222
-3678.5296850827694,223
-3667.9584420379574,224
-3671.5359833582293,225
-3661.0886882773557,226
-3650.7330361357886,227
-3642.8182873006326,228
-3648.332372569247,229
-3638.166431562454,230
-3628.088127978133,231
-3620.4064431064894,232
-3610.490176255607,233
-3600.6583031651576,234
-3590.9097510331017,235
